Bay_ID,Bay_Width,Bay_Depth,Bay_Height,Bay_Weight_Limit,,Zone,Aisle,Side,Level,,200A30E,No a b c d forklift aisle
2A1A,101,50,52,4000,,2,A,1,A,,,
2A1B,101,50,43,4000,,2,A,1,B,,,
2A1C,101,50,42,4000,,2,A,1,C,,,
2A1D,101,50,42,4000,,2,A,1,D,,,
2A1E,101,50,42,4000,,2,A,1,E,,822,Total G Locations
2A1F,101,50,42,4000,,2,A,1,F,,1109,Empty
2A1G,101,50,80,4000,,2,A,1,G,,,
2A2A,101,50,52,4000,,2,A,2,A,,,
2A2B,101,50,43,4000,,2,A,2,B,,,
2A2C,101,50,42,4000,,2,A,2,C,,,
2A2D,101,50,42,4000,,2,A,2,D,,,
2A2E,101,50,42,4000,,2,A,2,E,,,
2A2F,101,50,42,4000,,2,A,2,F,,,
2A2G,101,50,80,4000,,2,A,2,G,,,
2A3A,101,50,52,4000,,2,A,3,A,,,
2A3B,101,50,43,4000,,2,A,3,B,,,
2A3C,101,50,42,4000,,2,A,3,C,,,
2A3D,101,50,42,4000,,2,A,3,D,,,
2A3E,101,50,42,4000,,2,A,3,E,,,
2A3F,101,50,42,4000,,2,A,3,F,,,
2A3G,101,50,80,4000,,2,A,3,G,,,
2A4A,101,50,52,4000,,2,A,4,A,,,
2A4B,101,50,43,4000,,2,A,4,B,,,
2A4C,101,50,42,4000,,2,A,4,C,,,
2A4D,101,50,42,4000,,2,A,4,D,,,
2A4E,101,50,42,4000,,2,A,4,E,,,
2A4F,101,50,42,4000,,2,A,4,F,,,
2A4G,101,50,80,4000,,2,A,4,G,,,
2A5A,101,50,52,4000,,2,A,5,A,,,
2A5B,101,50,43,4000,,2,A,5,B,,,
2A5C,101,50,42,4000,,2,A,5,C,,,
2A5D,101,50,42,4000,,2,A,5,D,,,
2A5E,101,50,42,4000,,2,A,5,E,,,
2A5F,101,50,42,4000,,2,A,5,F,,,
2A5G,101,50,80,4000,,2,A,5,G,,,
2A6A,101,50,52,4000,,2,A,6,A,,,
2A6B,101,50,43,4000,,2,A,6,B,,,
2A6C,101,50,42,4000,,2,A,6,C,,,
2A6D,101,50,42,4000,,2,A,6,D,,,
2A6E,101,50,42,4000,,2,A,6,E,,,
2A6F,101,50,42,4000,,2,A,6,F,,,
2A6G,101,50,80,4000,,2,A,6,G,,,
2A7A,101,50,52,4000,,2,A,7,A,,,
2A7B,101,50,43,4000,,2,A,7,B,,,
2A7C,101,50,42,4000,,2,A,7,C,,,
2A7D,101,50,42,4000,,2,A,7,D,,,
2A7E,101,50,42,4000,,2,A,7,E,,,
2A7F,101,50,42,4000,,2,A,7,F,,,
2A7G,101,50,80,4000,,2,A,7,G,,,
2A8A,101,50,52,4000,,2,A,8,A,,,
2A8B,101,50,43,4000,,2,A,8,B,,,
2A8C,101,50,42,4000,,2,A,8,C,,,
2A8D,101,50,42,4000,,2,A,8,D,,,
2A8E,101,50,42,4000,,2,A,8,E,,,
2A8F,101,50,42,4000,,2,A,8,F,,,
2A8G,101,50,80,4000,,2,A,8,G,,,
2A9A,101,50,52,4000,,2,A,9,A,,,
2A9B,101,50,43,4000,,2,A,9,B,,,
2A9C,101,50,42,4000,,2,A,9,C,,,
2A9D,101,50,42,4000,,2,A,9,D,,,
2A9E,101,50,42,4000,,2,A,9,E,,,
2A9F,101,50,42,4000,,2,A,9,F,,,
2A9G,101,50,80,4000,,2,A,9,G,,,
2A10A,101,50,52,4000,,2,A,10,A,,,
2A10B,101,50,43,4000,,2,A,10,B,,,
2A10C,101,50,42,4000,,2,A,10,C,,,
2A10D,101,50,42,4000,,2,A,10,D,,,
2A10E,101,50,42,4000,,2,A,10,E,,,
2A10F,101,50,42,4000,,2,A,10,F,,,
2A10G,101,50,80,4000,,2,A,10,G,,,
2A11A,101,50,80,4000,,2,A,11,A,,,
2A11B,101,50,80,4000,,2,A,11,B,,,
2A11C,101,50,80,4000,,2,A,11,C,,,
2A11D,101,50,80,4000,,2,A,11,D,,,
2A11E,101,50,80,4000,,2,A,11,E,,,
2A11F,101,50,80,4000,,2,A,11,F,,,
2A11G,101,50,80,4000,,2,A,11,G,,,
2A12A,101,50,80,4000,,2,A,12,A,,,
2A12B,101,50,80,4000,,2,A,12,B,,,
2A12C,101,50,80,4000,,2,A,12,C,,,
2A12D,101,50,80,4000,,2,A,12,D,,,
2A12E,101,50,80,4000,,2,A,12,E,,,
2A12F,101,50,80,4000,,2,A,12,F,,,
2A12G,101,50,80,4000,,2,A,12,G,,,
2A13A,101,50,80,4000,,2,A,13,A,,,
2A13B,101,50,80,4000,,2,A,13,B,,,
2A13C,101,50,80,4000,,2,A,13,C,,,
2A13D,101,50,80,4000,,2,A,13,D,,,
2A13E,101,50,80,4000,,2,A,13,E,,,
2A13F,101,50,80,4000,,2,A,13,F,,,
2A13G,101,50,80,4000,,2,A,13,G,,,
2A14A,101,50,80,4000,,2,A,14,A,,,
2A14B,101,50,80,4000,,2,A,14,B,,,
2A14C,101,50,80,4000,,2,A,14,C,,,
2A14D,101,50,80,4000,,2,A,14,D,,,
2A14E,101,50,80,4000,,2,A,14,E,,,
2A14F,101,50,80,4000,,2,A,14,F,,,
2A14G,101,50,80,4000,,2,A,14,G,,,
2A15A,101,50,80,4000,,2,A,15,A,,,
2A15B,101,50,80,4000,,2,A,15,B,,,
2A15C,101,50,80,4000,,2,A,15,C,,,
2A15D,101,50,80,4000,,2,A,15,D,,,
